match_type,pitch_type,weather,ground,your_team,opposition_team,bowler_name,bowler_type,wickets,runs,economy,did_bowler_do_well
T20,Green,Cloudy,MCG,Australia,India,Starc,LeftArmFast,3,21,7.0,1
T20,Green,Cloudy,MCG,Australia,India,Cummins,RightArmFast,1,24,8.0,1
T20,Flat,Sunny,SCG,Australia,Pakistan,Zampa,LegSpin,2,26,6.5,1
ODI,Dry,Sunny,Wankhede,India,Australia,Bumrah,RightArmFast,2,35,5.0,1
ODI,Dry,Sunny,Wankhede,India,Australia,Shami,RightArmFast,1,48,5.3,0
ODI,Spinning,Humid,Chennai,India,SriLanka,Jadeja,LeftArmSpin,3,28,4.7,1
ODI,Spinning,Humid,Chennai,India,SriLanka,KuldeepYadav,LegSpin,2,34,4.8,1
T20,Flat,Humid,Dubai,Pakistan,India,ShaheenAfridi,LeftArmFast,2,29,7.2,1
T20,Flat,Humid,Dubai,Pakistan,India,HarisRauf,RightArmFast,1,32,8.0,0
ODI,Green,Overcast,TrentBridge,England,Pakistan,Woakes,RightArmFastMedium,3,33,4.7,1
ODI,Green,Overcast,TrentBridge,England,Pakistan,Wood,RightArmFast,2,41,5.1,1
T20,Spinning,Sunny,Cardiff,England,Afghanistan,Rashid,LegSpin,2,20,5.0,1
T20,Spinning,Sunny,Cardiff,England,Afghanistan,MoeenAli,OffSpin,1,22,5.5,1
T20,Slow,Humid,Premadasa,SriLanka,India,Hasaranga,LegSpin,3,18,4.5,1
T20,Slow,Humid,Premadasa,SriLanka,India,Theekshana,OffSpin,1,27,6.8,1
ODI,Flat,Sunny,Newlands,SouthAfrica,Australia,Rabada,RightArmFast,2,46,4.6,1
ODI,Flat,Sunny,Newlands,SouthAfrica,Australia,Ngidi,RightArmFastMedium,1,52,5.2,0
ODI,Green,Cloudy,Johannesburg,SouthAfrica,England,Nortje,RightArmFast,3,39,5.0,1
T20,Spinning,Humid,Mirpur,Bangladesh,India,ShakibAlHasan,LeftArmSpin,2,21,5.3,1
T20,Spinning,Humid,Mirpur,Bangladesh,India,Mustafizur,LeftArmFastMedium,1,30,7.5,0
ODI,Slow,Overcast,Mirpur,Bangladesh,Pakistan,MehidyHasan,OffSpin,3,29,4.2,1
T20,Spinning,Dry,Sharjah,Afghanistan,Pakistan,RashidKhan,LegSpin,3,19,4.7,1
T20,Spinning,Dry,Sharjah,Afghanistan,Pakistan,MujeebUrRahman,OffSpin,2,22,5.5,1
T20,Flat,Hot,Dubai,Afghanistan,WestIndies,NaveenUlHaq,RightArmMedium,1,34,8.5,0
T20,Flat,Hot,Dubai,Afghanistan,WestIndies,MohammadNabi,OffSpin,1,27,6.7,1
T20,Flat,Windy,Barbados,WestIndies,England,AlzarriJoseph,RightArmFast,2,29,7.3,1
T20,Flat,Windy,Barbados,WestIndies,England,Russell,RightArmFastMedium,1,31,7.8,0
ODI,Spinning,Sunny,PortOfSpain,WestIndies,Bangladesh,AkealHosein,LeftArmSpin,2,36,4.9,1
ODI,Spinning,Sunny,PortOfSpain,WestIndies,Bangladesh,Holder,RightArmMedium,1,44,5.2,0
ODI,Green,Overcast,HagleyOval,NewZealand,India,Boult,LeftArmFast,3,31,4.4,1
ODI,Green,Overcast,HagleyOval,NewZealand,India,Southee,RightArmFastMedium,2,37,4.8,1
T20,Flat,Sunny,EdenPark,NewZealand,Australia,Henry,RightArmFastMedium,1,33,8.2,0
T20,Flat,Sunny,EdenPark,NewZealand,Australia,Santner,LeftArmSpin,2,25,6.3,1
ODI,Slow,Dry,Pallekele,SriLanka,Afghanistan,MatheeshaPathirana,RightArmFast,2,43,4.9,1
ODI,Slow,Dry,Pallekele,SriLanka,Afghanistan,Theekshana,OffSpin,1,39,4.7,1
ODI,Flat,Hot,Gaddafi,Pakistan,SouthAfrica,ShadabKhan,LegSpin,2,45,4.9,1
ODI,Flat,Hot,Gaddafi,Pakistan,SouthAfrica,NaseemShah,RightArmFast,1,52,5.2,0
T20,Green,Cloudy,OldTrafford,England,NewZealand,Archer,RightArmFast,2,26,6.5,1
T20,Green,Cloudy,OldTrafford,England,NewZealand,Woakes,RightArmFastMedium,1,28,7.0,1
ODI,Slow,Sunny,TrentBridge,Afghanistan,Bangladesh,MohammadNabi,LeftArmSpin,1,52,5.3,0
ODI,Flat,Sunny,MCG,Australia,India,Hazlewood,RightArmFastMedium,2,41,4.9,1
T20,Spinning,Humid,Sharjah,Afghanistan,WestIndies,RashidKhan,LegSpin,3,18,4.8,1
T20,Flat,Hot,Chinnaswamy,India,England,Bumrah,RightArmFast,2,30,7.5,1
ODI,Green,Overcast,Lords,England,NewZealand,Archer,RightArmFast,3,36,4.8,1
T20,Slow,Humid,Premadasa,SriLanka,Pakistan,Hasaranga,LegSpin,2,20,5.7,1
ODI,Dry,Sunny,Newlands,SouthAfrica,Australia,Rabada,RightArmFast,2,44,4.9,1
T20,Flat,Windy,Barbados,WestIndies,Afghanistan,AlzarriJoseph,RightArmFast,1,35,8.2,0
