match_type,pitch_type,weather,ground,your_team,opposition_team,bowler_name,bowler_type,wickets,runs,economy,did_bowler_do_well
ODI,Flat,Overcast,Pallekele,Sri Lanka,Bangladesh,Chameera,RightArmFast,3,51,6.37,0
T20,Spinning,Humid,R Premadasa Stadium,Sri Lanka,Pakistan,Chameera,RightArmFast,4,20,5.0,1
T20,Slow,Dry,Arnos Vale Stadium,Sri Lanka,West Indies,Chameera,RightArmFast,2,17,4.25,1
T20,Dry,Windy,Gabba,Sri Lanka,Australia,Chameera,RightArmFast,1,30,7.5,0
T20,Flat,Overcast,Rawalpindi Cricket Stadium,Sri Lanka,India,Chameera,RightArmFast,1,31,7.75,0
ODI,Green,Cloudy,McLean Park,Sri Lanka,New Zealand,Chameera,RightArmFast,2,60,6.0,0
ODI,Flat,Hot,R Premadasa Stadium,Sri Lanka,Zimbabwe,Chameera,RightArmFast,2,44,5.5,0
ODI,Flat,Sunny,M Chinnaswamy Stadium,Sri Lanka,Afghanistan,Chameera,RightArmFast,2,55,7.33,0
ODI,Dry,Humid,Mahinda Rajapaksha Intl.,Sri Lanka,Australia,Chameera,RightArmFast,2,19,3.8,1
ODI,Spinning,Hot,Wankhede Stadium Mumbai,Sri Lanka,India,Chameera,RightArmFast,1,71,7.88,0
ODI,Flat,Sunny,Galle International Stadium,Sri Lanka,Afghanistan,Chameera,RightArmFast,4,63,6.30,0
ODI,Dry,Humid,Shere Bangla Stadium,Sri Lanka,Bangladesh,Chameera,RightArmFast,5,16,1.60,1
ODI,Flat,Overcast,Pallekele International,Sri Lanka,Australia,Chameera,RightArmFast,1,49,5.44,0
ODI,Green,Cloudy,Seddon Park Hamilton,Sri Lanka,New Zealand,Chameera,RightArmFast,1,20,4.00,0
ODI,Dry,Hot,Mahinda Rajapaksha Intl.,Sri Lanka,Pakistan,Chameera,RightArmFast,0,63,6.30,0
ODI,Flat,Sunny,R Premadasa Stadium,Sri Lanka,Zimbabwe,Chameera,RightArmFast,2,20,2.50,0
ODI,Green,Overcast,Rawalpindi Cricket Stadium,Sri Lanka,Pakistan,Chameera,RightArmFast,2,58,5.80,0
ODI,Slow,Humid,Queens Sports Club,Sri Lanka,Zimbabwe,Chameera,RightArmFast,3,52,5.20,0
ODI,Dry,Hot,R Premadasa Stadium,Sri Lanka,South Africa,Chameera,RightArmFast,2,19,2.37,1
T20,Flat,Sunny,Kardinia Park Geelong,Sri Lanka,UAE,Chameera,RightArmFast,3,15,3.75,1
T20,Spinning,Dry,Galle International Stadium,Sri Lanka,England,Chameera,RightArmFast,4,17,4.25,1
T20,Flat,Overcast,Adelaide Oval,Sri Lanka,New Zealand,Chameera,RightArmFast,0,26,6.50,0
T20,Dry,Windy,Pallekele International,Sri Lanka,India,Chameera,RightArmFast,2,29,7.25,0
T20,Flat,Hot,Shere Bangla Stadium,Sri Lanka,Bangladesh,Chameera,RightArmFast,1,31,7.75,0
T20,Green,Cloudy,Gaddafi Stadium Lahore,Sri Lanka,Pakistan,Chameera,RightArmFast,1,50,12.50,0
T20,Dry,Sunny,Rangiri Dambulla Intl.,Sri Lanka,Zimbabwe,Chameera,RightArmFast,3,30,7.50,0
T20,Spinning,Humid,R Premadasa Stadium,Sri Lanka,Bangladesh,Chameera,RightArmFast,1,32,8.00,0
T20,Flat,Overcast,Harare Sports Club,Sri Lanka,Zimbabwe,Chameera,RightArmFast,3,19,4.75,1
T20,Dry,Hot,R Premadasa Stadium,Sri Lanka,Afghanistan,Chameera,RightArmFast,2,33,8.25,0

ODI,Flat,Sunny,Hyderabad,Sri Lanka,Pakistan,Madushanka,LeftArmFastMedium,2,60,6.44,0
ODI,Slow,Hot,Ekana Stadium Lucknow,Sri Lanka,Australia,Madushanka,LeftArmFastMedium,3,38,4.14,0
ODI,Dry,Sunny,Ekana Stadium Lucknow,Sri Lanka,Netherlands,Madushanka,LeftArmFastMedium,4,49,5.20,0
ODI,Green,Cloudy,M. Chinnaswamy Stadium,Sri Lanka,England,Madushanka,LeftArmFastMedium,0,37,7.40,0
ODI,Flat,Sunny,MCA Stadium Pune,Sri Lanka,Afghanistan,Madushanka,LeftArmFastMedium,2,48,5.33,0
ODI,Slow,Overcast,Shere Bangla Stadium,Sri Lanka,Bangladesh,Madushanka,LeftArmFastMedium,2,30,4.40,0
ODI,Flat,Humid,Pallekele International,Sri Lanka,Afghanistan,Madushanka,LeftArmFastMedium,2,28,4.11,0
ODI,Dry,Hot,Harare Sports Club,Sri Lanka,Zimbabwe,Madushanka,LeftArmFastMedium,3,15,5.00,1
ODI,Flat,Cloudy,R Premadasa Stadium,Sri Lanka,Zimbabwe,Madushanka,LeftArmFastMedium,2,0,0.00,1
ODI,Green,Sunny,Seddon Park,Sri Lanka,New Zealand,Madushanka,LeftArmFastMedium,1,39,3.90,0
T20,Flat,Dry,Dubai International Stadium,Sri Lanka,India,Madushanka,LeftArmFastMedium,3,24,6.00,1
T20,Dry,Hot,Dubai International Stadium,Sri Lanka,Pakistan,Madushanka,LeftArmFastMedium,0,24,8.00,0
T20,Spinning,Humid,Sharjah Cricket Stadium,Sri Lanka,Afghanistan,Madushanka,LeftArmFastMedium,2,36,9.00,0
T20,Flat,Sunny,Pallekele International,Sri Lanka,India,Madushanka,LeftArmFastMedium,1,45,11.25,0
T20,Slow,Dry,Sylhet International Stadium,Sri Lanka,Bangladesh,Madushanka,LeftArmFastMedium,0,34,8.50,0
T20,Dry,Humid,R Premadasa Stadium,Sri Lanka,Zimbabwe,Madushanka,LeftArmFastMedium,1,24,6.00,0
T20,Flat,Windy,Eden Park Auckland,Sri Lanka,New Zealand,Madushanka,LeftArmFastMedium,0,18,9.00,0
T20,Green,Cloudy,John Davies Oval,Sri Lanka,New Zealand,Madushanka,LeftArmFastMedium,1,45,11.25,0
T20,Flat,Sunny,Saurashtra Cricket Assoc,Sri Lanka,India,Madushanka,LeftArmFastMedium,2,55,13.75,0
T20,Dry,Hot,MA Chidambaram Stadium,Sri Lanka,India,Madushanka,LeftArmFastMedium,1,35,8.75,0
ODI,Flat,Hot,Wankhede Stadium Mumbai,Sri Lanka,India,Madushanka,LeftArmFastMedium,5,80,8.0,0
ODI,Green,Overcast,Hagley Oval Christchurch,Sri Lanka,New Zealand,Madushanka,LeftArmFastMedium,2,44,4.4,0
ODI,Slow,Cloudy,Arun Jaitley Stadium Delhi,Sri Lanka,Bangladesh,Madushanka,LeftArmFastMedium,3,69,6.9,0
ODI,Dry,Humid,Rangiri Dambulla Intl.,Sri Lanka,Australia,Madushanka,LeftArmFastMedium,1,50,5.0,0
ODI,Green,Overcast,Riverside Ground Durham,Sri Lanka,England,Madushanka,LeftArmFastMedium,2,28,3.11,1
T20,Spinning,Humid,Dubai International Stadium,Sri Lanka,Afghanistan,Madushanka,LeftArmFastMedium,3,24,6.0,1
T20,Dry,Sunny,R Premadasa Stadium,Sri Lanka,Zimbabwe,Madushanka,LeftArmFastMedium,1,22,5.5,1
T20,Flat,Windy,Himachal Pradesh Stadium,Sri Lanka,India,Madushanka,LeftArmFastMedium,2,45,11.25,0
T20,Dry,Hot,Barsapara Stadium Guwahati,Sri Lanka,West Indies,Madushanka,LeftArmFastMedium,1,35,8.75,0
T20,Flat,Sunny,Kingsmead Durban,Sri Lanka,South Africa,Madushanka,LeftArmFastMedium,0,34,8.5,0

